motor_hp,series_code,output_rpm,output_torque_lb_in,catalog_service_factor
0.25,SI50,344,60,7.1
0.25,SI50,229,95,5.8
0.25,SI50,172,130,4.2
0.25,SI50,115,180,3.5
0.25,SI50,86,235,2.6
0.33,SI50,344,83,7.1
0.33,SI50,229,120,5.8
0.33,SI50,172,156,4.2
0.33,SI50,115,218,3.5
0.5,SI50,344,83,7.1
0.5,SI50,229,120,5.8
0.5,SI50,172,156,4.2
0.5,SI50,115,218,3.5
0.5,SI63,344,84,9.7
0.5,SI63,229,123,9.7
0.5,SI63,172,160,7.4
0.5,SI63,115,226,6.1
0.75,SI63,344,120,8.5
0.75,SI63,229,180,6.2
0.75,SI63,172,235,4.8
0.75,SI63,115,330,3.8
1.0,SI63,344,150,10.4
1.0,SI63,229,220,8.5
1.0,SI63,172,290,6.2
1.0,SI63,115,410,4.8
1.0,SI75,344,205,9.7
1.0,SI75,229,300,7.5
1.0,SI75,172,400,5.4
1.0,SI75,115,560,4.1
